Country name,year,Happiness Rating,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
Costa Rica,2022,7.076658249,9.997837067,0.901608407,70,0.910026312,-0.047002032,0.750560999
Kazakhstan,2018,6.00763607,10.14817142,0.936656713,64.59999847,0.84018296,-0.101779088,0.82378298
Kazakhstan,2019,6.272268295,10.17929173,0.951050103,65,0.852387428,-0.058803622,0.708279192
Kazakhstan,2020,6.168269157,10.1409874,0.966448963,65.40000153,0.872100115,-0.060331773,0.660798848
Kazakhstan,2021,6.259634018,10.17009354,0.906053364,65.80000305,0.807489097,0.03642213,0.782494009
Kazakhstan,2022,6.006279469,10.18687248,0.923373282,66.19999695,0.882937968,0.02240829,0.720168531
Indonesia,2018,5.340295792,9.341143608,0.809378862,62.67499924,0.879374385,0.508753896,0.867729425
Indonesia,2019,5.346512794,9.380740166,0.80191803,62.79999924,0.865859151,0.551963031,0.860784769
Indonesia,2020,4.828147411,9.351469994,0.750896156,62.92499924,0.85332638,0.53159827,0.913812995
Indonesia,2021,5.43317318,9.380770683,0.816924691,63.04999924,0.884855866,0.54299742,0.845080256
Indonesia,2022,5.584685802,9.425395966,0.834076643,63.17499924,0.903250694,0.518823147,0.861708522
Congo (Brazzaville),2018,5.490214348,8.239173889,0.620622933,55.875,0.69870007,-0.101779334,0.738020182
Congo (Brazzaville),2019,5.212622643,8.214752197,0.624768078,56.20000076,0.686451972,-0.056287225,0.74058944
Congo (Brazzaville),2020,5.079139233,8.127007484,0.596515119,56.52500153,0.760727525,-0.021083379,0.727796018
Congo (Brazzaville),2021,4.920531273,8.081596375,0.567651093,56.84999847,0.737661481,-0.019420257,0.732729912
Congo (Brazzaville),2022,5.804918766,8.077151299,0.646345079,57.17499924,0.69769448,0.027624207,0.759754062
Belgium,2018,6.89217186,10.84180355,0.929815531,70.44999695,0.808386624,-0.128761545,0.630411804
Belgium,2019,6.772138119,10.85856056,0.884230494,70.59999847,0.776203632,-0.176252663,0.672497511
Belgium,2020,6.838760853,10.7991457,0.903558671,70.75,0.766917825,-0.170136407,0.633626759
Belgium,2021,6.881756306,10.8539772,0.914856791,70.90000153,0.82250309,0.079182751,0.523367822
Belgium,2022,6.856874466,10.87826824,0.922732711,71.05000305,0.889889002,0.096943997,0.48338443
Russia,2018,5.513500214,10.19078541,0.908726096,63.82500076,0.7292822,-0.150907248,0.865311563
Russia,2019,5.440523624,10.21297646,0.910098851,64.19999695,0.714766085,-0.119939663,0.847705066
Russia,2020,5.495288849,10.18805695,0.887020171,64.57499695,0.714466453,-0.07624834,0.823047519
Russia,2021,5.448261261,10.23853397,0.861716568,64.94999695,0.670810163,0.055832274,0.807839274
Russia,2022,6.044072628,10.20286655,0.919851005,65.32499695,0.776063859,-0.07043764,0.766522646
Lithuania,2018,6.308878899,10.47578526,0.929350138,66.34999847,0.698945105,-0.240819216,0.851745069
Lithuania,2019,6.064097881,10.52364635,0.917577505,66.69999695,0.780266464,-0.255955368,0.782501221
Lithuania,2020,6.39137888,10.52316093,0.952544093,67.05000305,0.824060559,-0.127253518,0.829204798
Lithuania,2021,6.864572525,10.57912254,0.928175211,67.40000153,0.707402527,-0.119342811,0.877800763
Lithuania,2022,7.037577152,10.60183716,0.937096536,67.75,0.709662259,-0.190841839,0.684991181
Argentina,2018,5.792796612,10.03219891,0.899911582,67.05000305,0.845894694,-0.214172736,0.855255246
Argentina,2019,6.085560799,10.00205326,0.89637053,67.09999847,0.817052603,-0.214476675,0.830459774
Argentina,2020,5.900567055,9.887622833,0.897103846,67.15000153,0.823391616,-0.128546417,0.815780461
Argentina,2021,5.908278942,9.977072716,0.882304549,67.19999695,0.819479346,-0.012197027,0.816256702
Argentina,2022,6.260993481,10.01140499,0.893329561,67.25,0.825188935,-0.127506226,0.810037434
Chile,2018,6.436220646,10.12950611,0.890084922,69.84999847,0.78853035,-0.065820776,0.816297412
Chile,2019,5.942250252,10.11926842,0.869121909,70,0.659176767,-0.108219646,0.860491574
Chile,2020,6.150642872,10.04401875,0.888412297,70.15000153,0.781383574,0.027615355,0.811818838
Chile,2021,6.435630798,10.14443684,0.891460538,70.30000305,0.80341506,-0.049678605,0.858552754
Chile,2022,6.415198803,10.15356255,0.886761963,70.44999695,0.793485582,-0.010977617,0.796396375
Lebanon,2018,5.167186737,9.79651165,0.829380631,65.92500305,0.60703069,-0.07902959,0.906650305
Lebanon,2019,4.024219513,9.751047134,0.865968525,66,0.447001487,-0.09551619,0.890415609
Lebanon,2020,2.633752584,9.531043053,0.546599805,66.07499695,0.551600993,-0.136191308,0.883976877
Lebanon,2021,2.178809404,9.470949173,0.50677526,66.15000153,0.42269668,-0.161281437,0.9052791
Lebanon,2022,2.352427721,9.428472519,0.534528434,66.22499847,0.449575424,-0.125513852,0.882995963
Norway,2018,7.444262028,11.07195663,0.965961933,71.34999847,0.960429013,0.088390358,0.268201441
Norway,2019,7.442139626,11.07263565,0.941784024,71.40000153,0.954044461,0.105307363,0.270571798
Norway,2020,7.290032387,11.05955124,0.955979943,71.44999695,0.964561105,0.069376923,0.271083295
Norway,2021,7.361573696,11.09227848,0.947877407,71.5,0.936379194,0.167681649,0.263276964
Norway,2022,7.294604301,11.1112957,0.92657131,71.55000305,0.939022839,0.184594572,0.314442098
Estonia,2018,6.091302395,10.46252823,0.932693779,68.97499847,0.885618389,-0.144695237,0.620677948
Estonia,2019,6.034641266,10.49552727,0.934064329,69.19999695,0.886504352,-0.098686397,0.575754166
Estonia,2020,6.452563763,10.48802662,0.957770467,69.42500305,0.954200566,-0.088427089,0.397834778
Estonia,2021,6.553915501,10.56405163,0.945865035,69.65000153,0.925818324,0.047387216,0.441425771
Estonia,2022,6.357114315,10.57135296,0.933332503,69.875,0.903950691,0.13574183,0.39030093
Mali,2018,4.415729523,7.689634323,0.691859066,54.20000076,0.737204552,-0.032463923,0.793091416
Mali,2019,4.98799181,7.704833031,0.754558086,54.59999847,0.67040509,-0.0361422,0.846340001
Mali,2020,4.269473553,7.660975456,0.567915261,55,0.645313561,-0.065397367,0.894637346
Mali,2021,4.11309576,7.659465313,0.573393524,55.40000153,0.672789276,-0.000230506,0.90156728
Mali,2022,4.210547924,7.645281792,0.641625226,55.79999924,0.817642868,-0.019203309,0.745646715
United Kingdom,2018,7.233445168,10.75530624,0.928483903,70,0.83750838,0.221139982,0.404276013
United Kingdom,2019,7.157151222,10.76558113,0.942681074,70.09999847,0.85403955,0.265269667,0.485092282
United Kingdom,2020,6.798177242,10.64504623,0.929353237,70.19999695,0.884624004,0.19695583,0.490203947
United Kingdom,2021,6.866961956,10.71394444,0.854029596,70.30000305,0.815077186,0.253572524,0.447526574
United Kingdom,2022,6.721779823,10.75374222,0.8634395,70.40000153,0.857062578,0.309394181,0.426054806
Spain,2018,6.513370991,10.60299587,0.910314679,71.97499847,0.7222507,-0.078989901,0.776504457
Spain,2019,6.457449436,10.61546421,0.949013472,72.09999847,0.777966738,-0.052578475,0.73033762
Spain,2020,6.502175331,10.49038219,0.934934676,72.22499847,0.783256531,-0.124827951,0.729977489
Spain,2021,6.469611168,10.54305172,0.926416755,72.34999847,0.781794965,-0.074128382,0.729346991
Spain,2022,6.336902142,10.58749199,0.933899879,72.47499847,0.781408846,0.00120831,0.673111916
Italy,2018,6.516526699,10.64651775,0.912656128,71.82499695,0.650009274,-0.025133574,0.887824833
Italy,2019,6.445416927,10.6628685,0.83840245,71.90000153,0.709478855,-0.086302891,0.865528047
Italy,2020,6.488356113,10.57298946,0.889824033,71.97499847,0.718155444,-0.154799536,0.844094574
Italy,2021,6.4667449,10.64374352,0.885533631,72.05000305,0.702845216,-0.094107211,0.862317502
Italy,2022,6.258476734,10.68542004,0.869363606,72.125,0.710519016,0.028278332,0.818708301
Colombia,2018,5.983512402,9.576817513,0.870970428,68.82499695,0.850765765,-0.151604235,0.854820907
Colombia,2019,6.350297928,9.589880943,0.872578919,69,0.821500719,-0.174859732,0.853646159
Colombia,2020,5.70917511,9.502091408,0.797035217,69.17500305,0.840186119,-0.088326029,0.807964027
