dt_iso,avg_temp,avg_feels_like,min_temp,max_temp,avg_humidity,avg_wind_speed
2020-01-01,40.2770832379659,32.9379168351491,31.17,47.17,63.7083333333333,13.2166665196419
2020-01-02,37.204166730245,34.6170833905538,21.94,50.97,70.0416666666667,4.57166664799054
2020-01-03,46.1371997070313,43.6839999389648,38.28,50.23,83.28,5.17719992637634
2020-01-04,49.2974293300084,48.1342855181013,45.86,55.69,93.2571428571429,4.7959999697549
2020-01-05,41.1162503560384,32.5141666730245,36.18,52.21,62.625,18.3437500397364
2020-01-06,39.9595829645793,33.6241668065389,32.94,51.31,59.625,10.5695833265781
2020-01-07,39.5195835431417,34.5570828914642,27.18,46.69,57.5416666666667,7.69916662573814
2020-01-08,34.7875005858285,25.7510712487357,28.8,41.97,80.2142857142857,14.2925000190735
2020-01-09,29.6433331171672,21.2887500127157,21.96,36.19,46.2083333333333,9.99208324154218
2020-01-10,38.6337502002716,34.7800000508626,24.91,58.21,70.7916666666667,7.01958322525024
2020-01-11,56.1516660054525,55.0075001716614,42.19,69.31,78.5416666666667,8.90125001470248
2020-01-12,64.1847999572754,63.6056001281738,54.21,68.23,70.32,18.8983999633789
2020-01-13,45.7541664441427,42.2862499554952,37.18,56.57,73.0833333333333,6.94791665673256
2020-01-14,42.4917860031128,39.9214285441807,32.76,47.41,88.6071428571429,4.35214279379163
2020-01-15,46.3422220018175,43.2348146791811,39.42,55.63,82,6.08111114855166
2020-01-16,46.5348001098633,41.2491998291016,35.19,53.29,66.36,14.2992001724243
2020-01-17,31.7708334128062,20.3312497536341,23.79,43.21,42.5416666666667,20.4408333897591
2020-01-18,25.0159999084473,17.084400100708,19.8,32.22,54.12,7.23920004844665
2020-01-19,37.7316665649414,28.9112501939138,31.21,45.19,76.2083333333333,16.021666765213
2020-01-20,27.8575001557668,16.5600000619888,21.18,34.21,50.2083333333333,15.2112499475479
2020-01-21,26.5212496916453,16.6283331712087,16.29,36.19,46.7916666666667,11.0820833047231
2020-01-22,30.4870830376943,25.8912500540415,16.18,43.03,56.6666666666667,4.64874997735023
2020-01-23,34.0020831425985,32.9187499682109,17.96,47.17,62.125,1.80833329757055
2020-01-24,40.8208337624868,38.331250111262,23.18,58.15,63.0416666666667,5.40666661659877
2020-01-25,46.2062068807668,40.4813794103162,38.86,54.99,87.0689655172414,15.5117240609794
2020-01-26,41.6795832316081,35.5574999650319,30.94,48.43,75.7083333333333,10.9237500627836
2020-01-27,40.2187503178914,33.258333047231,29.17,46.27,67.6666666666667,12.1825000246366
2020-01-28,40.2512501080831,33.1712499459585,36.61,43.61,63.5,12.4149999817212
2020-01-29,38.9154167175293,31.4441667397817,35.1,45.19,51.5833333333333,12.3599999944369
2020-01-30,32.2879164218903,25.1658333937327,21.6,40.19,57.875,8.20166665315628
2020-01-31,37.1529167493184,33.9250001907349,24.19,48.43,72.3333333333333,4.25166657567024
2020-02-01,39.8995831807454,36.7900001207987,32.29,46.29,88.6666666666667,4.56833324829737
2020-02-02,39.1953845390907,33.4365389163678,31.17,44.15,83.6538461538462,8.86999999559843
2020-02-03,44.4891667366028,40.7429167429606,31.17,61.41,73.75,7.93249997496605
2020-02-04,50.736000213623,49.376400604248,39.06,65.21,76.8,4.78799996376038
2020-02-05,46.5979169209798,42.0562500158946,36.18,62.83,70.8333333333333,10.4008332987626
2020-02-06,40.1555262113872,35.7994734613519,34.92,45.19,87.6842105263158,6.68236842908357
2020-02-07,45.976765015546,41.2355883542229,34.61,60.69,89.4705882352941,14.757352885078
2020-02-08,36.8658335208893,28.0774999459585,27.97,44.15,54.5833333333333,14.7079165776571
2020-02-09,38.1154165267944,34.465416431427,23.18,50.14,63.2916666666667,5.42583328485489
2020-02-10,43.2341666221619,36.7908331553141,35.96,47.68,75.125,12.7137500047684
2020-02-11,46.8297225104438,44.7199997372097,42.91,52.16,92.25,4.88583328988817
2020-02-12,44.1245832443237,39.2429164250692,36.28,50.23,56.1666666666667,9.46041665474574
2020-02-13,41.5833334311461,37.3084615071615,35.49,48.43,87.6666666666667,6.8374358751835
2020-02-14,36.6566667556763,27.6908334096273,25.79,47.17,57.4583333333333,14.9500000079473
2020-02-15,23.0883332888285,13.973749935627,10.96,35.94,41.375,9.24166655540466
2020-02-16,35.1362497806549,28.783333381017,24.19,50.99,64.9166666666667,8.00458335876465
2020-02-17,43.454166730245,39.9200003941854,29.17,55.27,58.875,5.90124993522962
2020-02-18,45.9266662597656,42.4383333524068,31.68,63.99,69.7916666666667,7.04500003655752
2020-02-19,48.6891663869222,43.7516662279765,40.21,59.23,51.625,13.3937499721845
2020-02-20,35.2737499872843,28.9762499332428,25.97,45.41,44.9166666666667,8.01875002185504
2020-02-21,28.9491665363312,19.394166747729,19.18,38.17,45.3333333333333,11.4641667207082
2020-02-22,35.9329166412354,28.6304167111715,19.29,52.21,39.375,11.1283332705498
2020-02-23,42.3799997965495,37.874166727066,21.29,58.77,42.4583333333333,8.23124995827675
2020-02-24,45.0095834732056,43.1350002288818,24.19,63.19,56.5416666666667,3.63125000397364
2020-02-25,48.6493744850159,45.9500006437302,43.56,57.43,83.21875,6.68281246721745
2020-02-26,48.2637502352397,45.858750184377,44.19,53.83,89.75,7.12124998370806
2020-02-27,42.8107410007053,33.8859262819643,32.77,48.43,71.2962962962963,21.8151852289836
2020-02-28,34.987500111262,24.4170834223429,27.95,43.68,49.2916666666667,18.6412499348323
2020-02-29,33.0079168478648,23.4770832856496,24.96,40.73,47.3333333333333,13.999166627725
